site,month,sample_id,sample_num,raw_FLU,post_blank_flu,chla_mg_L_cuvette,mg_etoh,ml_etoh,ml_sample_filtered,chla_ug_L_fin
pep,may,2,1,61.779,61.476,0.038232449,7757,9.827695426,200,1.878684335
pep,may,2,2,62.202,61.899,0.038385443,7838,9.930318003,200,1.905898283
pep,may,2,3,65.059,64.756,0.03942347,7816,9.902445205,200,1.951943746
plq,may,3,1,55.863,55.56,0.036111457,7796,9.877106297,200,1.783383487
plq,may,3,2,55.579,55.276,0.036010518,7719,9.779551501,200,1.760833581
plq,may,3,3,72.201,71.898,0.042054061,7772,9.846699607,200,2.07046854
tam,may,4,1,81.184,80.881,0.045435168,7801,9.883441024,200,2.245279021
tam,may,4,2,76.482,76.179,0.04365532,7673,9.721272013,200,2.121926204
tam,may,4,3,64.006,63.703,0.039039936,7870,9.970860256,200,1.946308736
pyr,may,5,1,53.129,52.826,0.035143093,7764,9.836564044,200,1.728436432
pyr,may,5,2,61.106,60.803,0.037989402,7882,9.986063601,200,1.896822943
pyr,may,5,3,52.941,52.638,0.03507678,7764,9.836564044,200,1.725174941
aby,may,6,1,65.969,65.666,0.039755812,7729,9.792220955,200,1.946488466
blh,may,6,1,48.367,48.064,0.033474274,7738,9.803623464,200,1.640845892
aby,may,6,2,54.61,54.307,0.035666725,7752,9.821360699,200,1.751478862
blh,may,6,2,59.762,59.459,0.037505386,7862,9.960724693,200,1.867904139
aby,may,6,3,65.749,65.446,0.039675389,7373,9.341188395,200,1.853076438
blh,may,6,3,70.996,70.693,0.04160665,7218,9.144811859,200,1.902424937
nts,may,7,1,24.198,23.895,0.025353986,7808,9.892309641,200,1.254047377
nts,may,7,2,21.489,21.186,0.024480223,7625,9.660458634,200,1.182450923
nts,may,7,3,24.817,24.514,0.025554668,7824,9.912580768,200,1.266563558
hek,may,8,1,23.854,23.551,0.025242625,7803,9.885974914,200,1.247739778
hek,may,8,2,25.743,25.44,0.025855597,7644,9.684530597,200,1.251996592
hek,may,8,3,66.439,66.136,0.039927785,7589,9.6148486,200,1.91949805
dag,may,9,1,62.293,61.99,0.03841838,7650,9.692132269,200,1.861780105
dag,may,9,2,119.15,118.847,0.060616405,7786,9.864436843,200,2.989733479
dag,may,9,3,46.892,46.589,0.032961967,7751,9.820093754,200,1.618448054
blh,jun,10,1,19.673,19.37,0.023898598,7642,9.681996706,200,1.156930757
blh,jun,10,2,22.906,22.603,0.024936348,7837,9.929051058,200,1.237971353
tam,jun,10,3,20.34,20.037,0.024111841,7859,9.956923857,200,1.200398809
tam,jun,11,1,10.191,9.888,0.020915286,7910,10.02153807,200,1.048016688
tam,jun,11,2,16.737,16.434,0.022965238,7823,9.911313822,200,1.138078413
pep,jun,11,3,10.423,10.12,0.020987207,7809,9.893576587,100,2.076385418
pep,jun,12,1,15.633,15.33,0.022616504,7806,9.889775751,200,1.118360786
pep,jun,12,2,10.492,10.189,0.021008608,7859,9.956923857,200,1.045905544
