Site,Date,Net,LarvalFishCount,Tui_m3
ABY,5,LT1,0,0
ABY,5,LT2,0,0
ABY,6,LT1,0,0
ABY,6,LT2,3,0.5
ABY,7,LTshallow,1,0.142857143
ABY,7,LTdeep,0,0
ABY,8,LTshallow,1,0.125
ABY,8,LTdeep,0,0
BLH,5,LTshallow,7,1.4
BLH,5,LT1,0,0
BLH,6,LT1,24,4
BLH,6,LT2,20,3.333333333
BLH,7,LTshallow,4,0.571428571
BLH,7,LTdeep,26,3.714285714
BLH,8,LTshallow,2,0.25
BLH,8,LTdeep,2,0.25
DAG,5,LTshallow,0,0
DAG,5,LTdeep,1,0.2
DAG,6,LTshallow,60,10
DAG,6,LTdeep,4,0.666666667
DAG,7,LTshallow,5,0.714285714
DAG,7,LTdeep,0,0
DAG,8,LTshallow,5,0.625
DAG,8,LTdeep,9,1.125
HEK,5,LTshallow,0,0
HEK,5,LTdeep,0,0
HEK,6,LTshallow,4,0.666666667
HEK,6,LTdeep,21,3.5
HEK,7,LTshallow,0,0
HEK,7,LTdeep,0,0
HEK,8,LTshallow,0,0
HEK,8,LTdeep,0,0
NTS,5,LTshallow,0,0
NTS,5,LTdeep,1,0.2
NTS,6,LTshallow,0,0
NTS,6,LTdeep,2,0.333333333
NTS,7,LTshallow,1,0.142857143
NTS,7,LTdeep,2,0.285714286
NTS,8,LTshallow,0,0
NTS,8,LTdeep,1,0.125
PEP,5,LTshallow,0,0
PEP,5,LTdeep,0,0
PEP,6,LTshallow,25,4.166666667
PEP,6,LTdeep,1,0.166666667
PEP,7,LTshallow,1,0.142857143
PEP,7,LTdeep,0,0
PEP,8,LTshallow,2,0.25
PEP,8,LTdeep,0,0
PLQ,5,LTshallow,0,0
PLQ,5,LTdeep,0,0
PLQ,6,LTshallow,0,0
PLQ,6,LTdeep,0,0
PLQ,7,LTshallow,11,1.571428571
PLQ,7,LTdeep,0,0
PLQ,8,LTshallow,1,0.125
PLQ,8,LTdeep,1,0.125
PYR,5,LTshallow,0,0
PYR,5,LTdeep,0,0
PYR,6,LTshallow,0,0
PYR,6,LTdeep,0,0
PYR,7,LTshallow,0,0
PYR,7,LTdeep,1,0.142857143
PYR,8,LTshallow,6,0.75
PYR,8,LTdeep,10,1.25
TAM,5,LTshallow,0,0
TAM,5,LTdeep,0,0
TAM,6,LTshallow,11,1.833333333
TAM,6,LT1,3,0.5
TAM,7,LTshallow,6,0.857142857
TAM,7,LTdeep,12,1.714285714
TAM,8,LTshallow,0,0
TAM,8,LTdeep,0,0
